股票代號,股票名稱,產業別,市場別,上市/掛牌日期,ISIN代碼,題材清單,題材總數
1101,台泥,水泥工業,上市,1962/02/09,TW0001101004,不動產/建設、水泥、水泥建材、水泥製品、汽電共生、電力、預拌混凝土,7
1102,亞泥,水泥工業,上市,1962/06/08,TW0001102002,不動產/建設、水泥、水泥建材、汽電共生、電力、預拌混凝土、高爐水泥,7
1103,嘉泥,水泥工業,上市,1969/11/14,TW0001103000,不動產/建設、地產、旅宿／餐飲、水泥、水泥建材、物業投資發展、貨櫃場服務、運輸事業、飯店,9
1104,環泥,水泥工業,上市,1971/02/01,TW0001104008,不動產/建設、水泥、水泥建材、水泥製品、預拌混凝土,5
1108,幸福,水泥工業,上市,1990/06/06,TW0001108009,不動產/建設、水泥、水泥建材、預拌混凝土、高爐水泥,5
1109,信大,水泥工業,上市,1991/12/05,TW0001109007,不動產/建設、水泥、水泥建材、預拌混凝土、高爐水泥,5
1110,東泥,水泥工業,上市,1994/10/22,TW0001110005,不動產/建設、水泥、水泥建材、高爐水泥,4
1201,味全,食品工業,上市,1962/02/09,TW0001201002,乳製品、消費民生、非酒精飲料、食品加工、食品農業、飲料相關,6
1203,味王,食品工業,上市,1964/08/24,TW0001203008,消費民生、罐頭業、調味品、調理食品、資產股、速食麵、食品加工、食品農業,8
1210,大成,食品工業,上市,1978/05/20,TW0001210003,大宗物資、消費民生、肉品加工、農林漁牧、食品加工、食品農業、飼料,7
1213,大飲,食品工業,上市,1981/04/10,TW0001213007,消費民生、非酒精飲料、食品農業、飲料相關,4
1215,卜蜂,食品工業,上市,1987/07/27,TW0001215002,消費民生、肉品加工、農林漁牧、食品加工、食品農業、飼料,6
1216,統一,食品工業,上市,1987/12/28,TW0001216000,乳製品、消費民生、穀類烘焙製品、速食麵、非酒精飲料、食品加工、食品農業、飲料相關,8
1217,愛之味,食品工業,上市,1989/10/28,TW0001217008,乳製品、消費民生、罐頭業、非酒精飲料、食品加工、食品農業、飲料相關,7
1218,泰山,食品工業,上市,1989/11/11,TW0001218006,大宗物資、油脂、消費民生、非酒精飲料、食品農業、飲料相關,6
1219,福壽,食品工業,上市,1990/12/01,TW0001219004,大宗物資、寵物食品、油脂、消費民生、農林漁牧、食品加工、食品農業、飼料,8
1220,台榮,食品工業,上市,1991/11/20,TW0001220002,大宗物資、流通業、消費民生、磨粉製品、製糖、農林漁牧、食品加工、食品農業、食品飲料相關通路、飼料,10
1225,福懋油,食品工業,上市,1993/09/27,TW0001225001,大宗物資、油脂、消費民生、農林漁牧、食品農業、飼料、麵粉,7
1227,佳格,食品工業,上市,1994/04/09,TW0001227007,乳製品、保健食品、大宗物資、油脂、消費民生、穀類烘焙製品、食品加工、食品農業,8
1229,聯華,食品工業,上市,1976/07/19,TW0001229003,大宗物資、消費民生、系統整合、軟體業、食品農業、麵粉,6
1231,聯華食,食品工業,上市,1995/11/02,TW0001231009,消費民生、穀類烘焙製品、調理食品、食品加工、食品農業、餅乾製品,6
1232,大統益,食品工業,上市,1996/02/09,TW0001232007,大宗物資、油脂、消費民生、磨粉製品、食品加工、食品農業,6
1233,天仁,食品工業,上市,1999/01/20,TW0001233005,旅宿／餐飲、消費民生、茶葉相關、連鎖飲料、食品加工、食品農業、餐飲,7
1234,黑松,食品工業,上市,1999/03/12,TW0001234003,流通業、消費民生、資產股、非酒精飲料、食品農業、食品飲料相關通路、飲料相關,7
1235,興泰,食品工業,上市,2000/09/11,TW0001235000,消費民生、農林漁牧、食品農業、飼料,4
1236,宏亞,食品工業,上市,2001/09/17,TW0001236008,可可製品、消費民生、食品加工、食品農業、餅乾製品,5
1256,鮮活果汁-KY,食品工業,上市,2016/03/17,KYG858681003,消費民生、非酒精飲料、食品農業、飲料相關,4
